company_name,brand,priority_tier,ats (fill: workday/taleo/icims/...),tenant,dc,site
"J.B. Hunt Transport, Inc.",J B Hunt Transport,warm,,,,
JPMorgan Chase & Co.,JPMorgan Chase &,warm,,,,
KLA Corporation,KLA,warm,,,,
"KPIT Technologies, Inc.",KPIT Technologies,warm,,,,
KPMG LLP,KPMG,warm,,,,
Kforce INC.,Kforce,warm,,,,
LTIMindtree Limited,LTIMindtree,warm,,,,
Lam Research Corporation,Lam Research,warm,,,,
Lawrence Berkeley National Laboratory,Lawrence Berkeley National Laboratory,warm,,,,
"Lowe's Companies, Inc.",Lowe's Companies,warm,,,,
"Lucid USA, Inc.",Lucid,warm,,,,
"Management Health Systems, LLC",Management Health Systems,warm,,,,
"Marvell Semiconductor, Inc.",Marvell Semiconductor,warm,,,,
"Mastech Digital Technologies, Inc.",Mastech Digital Technologies,warm,,,,
"Mastercard Technologies, LLC",Mastercard Technologies,warm,,,,
McKesson Corporation,McKesson,warm,,,,
"McKinsey & Company, Inc. United States",McKinsey & United States,warm,,,,
"Medline Industries, LP.",Medline Industries,warm,,,,
"Medtronic, Inc.",Medtronic,warm,,,,
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,warm,,,,
"Meta Platforms, Inc",Meta Platforms,warm,,,,
Microsoft Corporation,Microsoft,warm,,,,
Morgan Stanley Services Group Inc.,Morgan Stanley Services,warm,,,,
Mphasis Corporation,Mphasis,warm,,,,
"NIKE, Inc.",NIKE,warm,,,,
"NTT DATA Americas, Inc.",NTT DATA,warm,,,,
NVIDIA Corporation,NVIDIA,warm,,,,
"Nagarro, INC",Nagarro,warm,,,,
Natsoft Corporation,Natsoft,warm,,,,
"Netflix, Inc.",Netflix,warm,,,,
Nokia of America Corporation,Nokia of,warm,,,,
"Nordstrom, Inc.",Nordstrom,warm,,,,
Northwell Health,Northwell Health,warm,,,,
"Nysarc, INC Essex County Chapter",Nysarc Essex County Chapter,warm,,,,
"Optum Services, Inc.",Optum Services,warm,,,,
"Oracle America, Inc.",Oracle,warm,,,,
Orpine Inc,Orpine,warm,,,,
"Palo Alto Networks, Inc.",Palo Alto Networks,warm,,,,
"PayPal, Inc.",PayPal,warm,,,,
"Paycom Payroll, LLC",Paycom Payroll,warm,,,,
"People Center, Inc. d/b/a Rippling",People Center d/b/a Rippling,warm,,,,
"Perficient, Inc.",Perficient,warm,,,,
"Persistent Systems, INC.",Persistent Systems,warm,,,,
"Photon Infotech, INC.",Photon Infotech,warm,,,,
Pioneer Consulting Services LLC,Pioneer Consulting Services,warm,,,,
Populus Group LLC,Populus,warm,,,,
PricewaterhouseCoopers Advisory Services LLC,PricewaterhouseCoopers Advisory Services,warm,,,,
PwC US Consulting LLP,PwC US Consulting,warm,,,,
PwC US Tax LLP,PwC US Tax,warm,,,,
"Pyramid Consulting, Inc.",Pyramid Consulting,warm,,,,
"Qualcomm Atheros, Inc.",Qualcomm Atheros,warm,,,,
"Qualcomm Innovation Center, Inc.",Qualcomm Innovation Center,warm,,,,
"RELX, Inc.",RELX,warm,,,,
"Randstad Digital, LLC",Randstad Digital,warm,,,,
"Raymond James & Associates, Inc.",Raymond James & Associates,warm,,,,
"Resolve AI, Inc.",Resolve AI,warm,,,,
"Rivian Automotive, LLC",Rivian Automotive,warm,,,,
"Rivian and Volkswagen Group Technologies, LLC",Rivian and Volkswagen Technologies,warm,,,,
Robotics Technologies LLC,Robotics Technologies,warm,,,,
"Rocket Mortgage, LLC",Rocket Mortgage,warm,,,,
Rockwell Collins Inc.,Rockwell Collins,warm,,,,
"SAP America, Inc.",SAP,warm,,,,
STV Incorporated,STV,warm,,,,
Safeway Inc.,Safeway,warm,,,,
"Salesforce, Inc.",Salesforce,warm,,,,
"Samsung Electronics America, Inc.",Samsung Electronics,warm,,,,
Siemens Industry Software Inc.,Siemens Industry Software,warm,,,,
Skilltune Technologies INC,Skilltune Technologies,warm,,,,
Slk America INC,Slk,warm,,,,
Snap INC.,Snap,warm,,,,
Sony Interactive Entertainment LLC,Sony Interactive Entertainment,warm,,,,
Specs Inc.,Specs,warm,,,,
"Staples, Inc.",Staples,warm,,,,
State Street Bank and Trust Company,State Street Bank and Trust,warm,,,,
"Synopsys, Inc.",Synopsys,warm,,,,
"T-Mobile USA, Inc.",T-Mobile,warm,,,,
TE Connectivity Corporation,TE Connectivity,warm,,,,
"Target Enterprise, Inc.",Target Enterprise,warm,,,,
"Tech Mahindra (Americas), INC",Tech Mahindra (),warm,,,,
Tek Leaders Inc,Tek Leaders,warm,,,,
"Tesla, Inc.",Tesla,warm,,,,
The Bank of New York Mellon,Bank of New York Mellon,warm,,,,
"The MathWorks, Inc.",MathWorks,warm,,,,
The Northern Trust Company,Northern Trust,warm,,,,
"The PNC Financial Services Group, Inc.",PNC Financial Services,warm,,,,
"The Vanguard Group, Inc.",Vanguard,warm,,,,
"Thermo Fisher Scientific, Inc.",Thermo Fisher Scientific,warm,,,,
TikTok Inc.,TikTok,warm,,,,
TikTok U.S. Data Security Inc.,TikTok U S Data Security,warm,,,,
Toyota Material Handling Inc.,Toyota Material Handling,warm,,,,
Truist Bank,Truist Bank,warm,,,,
U.S. Bank National Association,U S Bank National Association,warm,,,,
UST Global Inc,UST Global,warm,,,,
United Services Automobile Association,United Services Automobile Association,warm,,,,
"V-Soft Consulting Group, INC",V-Soft Consulting,warm,,,,
Vastek Inc,Vastek,warm,,,,
"Ventois, Inc",Ventois,warm,,,,
Verizon Data Services LLC,Verizon Data Services,warm,,,,
Virtual Reality Technologies LLC,Virtual Reality Technologies,warm,,,,
"Virtusa Consulting Services Pvt., LTD",Virtusa Consulting Services Pvt,warm,,,,
Virtusa Corporation,Virtusa,warm,,,,
WSP USA Inc.,WSP,warm,,,,
"Wal-Mart Associates, INC.",Wal-Mart Associates,warm,,,,
"Wells Fargo Bank, N.A.",Wells Fargo Bank,warm,,,,
Wipro Limited,Wipro,warm,,,,
"Workday, Inc.",Workday,warm,,,,
"Xilinx, Inc.",Xilinx,warm,,,,
Yahoo Holdings Inc.,Yahoo,warm,,,,
"ZS Associates, Inc.",ZS Associates,warm,,,,
"Zimmer, Inc.",Zimmer,warm,,,,
eBay Inc.,eBay,warm,,,,
